code,product_name,brands,countries,quantity,categories,labels,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
80053835,Olivenöl,Monini,"Austrija,Bugarska,Hrvatska,Francuska,Njemačka,Italija,Rumunjska,Švicarska",1l,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Fette, Pflanzenfette, Olivenbaumprodukte, Pflanzenöle, Olivenöle, Native Olivenöle Extra, Native Olivenöle","Carbon compensated product, Carbon Trust, Carbon Trust Carbon Neutral, en:orthodox-union-kosher",b,d,2.0,NATIVES OLIVENÖL EXTRA,828.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8019428000013,,"The Bridge, the bridge la familiglia organic","Frankrijk,Hongarije,Roemenië,Uruguay",1 L,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Céréales et pommes de terre, Substituts de produits laitiers, Céréales et dérivés, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de céréales, Boissons au riz, Boissons végétales de riz nature","Low or no sugar, No gluten, Organic, Vegetarian, EU Organic, Kosher, Vegan, EG-Öko-Verordnung, EU Agriculture, FSC, FSC Mix, IT-BIO-006, Kashrut division of the London Beth Din, Kosher LBD, No added sugar, No cholesterol, AB Agriculture Biologique, Triman, ICEA, fr:Green-energy-company, fr:Naturally-lactose-free, nl:Kosher-lemehadrin, FSC-C014047",d,a,3.0,"Water boiled, Rice, Sunflower oil, Seasalt without iodine",65.0,1.3,0.2,13.0,4.8,0.0,0.5,0.1,0.04
8410087143538,Dulcesol snack cacao,Gateau,"France,Maroc,en:morocco",24 g,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Barres, Biscuits et gâteaux, Confiseries chocolatées, Biscuits, Barres chocolatées",en:dulcesol snack,e,c,4.0,"Sucre, graisses végétales , , coprah proportion variable, farine de BLE, sirop de glucose-fructose, cacao dégraissé en poudre (6%), OEUF, humectants: E 420, et E422 ,blanc d'OEUF, huiles végétales (tournesol, soja) en proportion variable, LACTOSERUM, émulsifiants: E471 et E322 (conta PATE DE NOISETTES, poudres à lever: E450 et E500, arômes, LACTOSÉRUM en poudre (LAIT), Conservateur: E202, se acidité: E262 et E270Feut contenir des traces de GRAINES DE SESAME et/ou produits dérivés.",531.0,29.0,13.0,63.0,44.0,2.5,3.9,0.1,0.04
8421384016210,Mini taquitos jamón,Incarlopsa,"Spain, Germany",1pcs,"Meats and their products, Meats, Prepared meats, Jamón, en:dried-hams","es:punto-verde, es:sin-gluten",e,f,3.0,"Jamón de cerdo, sal  y conservadores (E-252, E-250).",234.0,10.6,3.44,1.0,0.556,,33.7,3.6,1.44
8480000141422,Tortitas de arroz con chocolate con leche,Hacendado,España,130 g,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Tortitas de cereales,Tortitas de arroz,Tortitas de arroz con chocolate con leche","Sin gluten,Punto Verde",e,d,4.0,"Chocolate con leche 55% [azúcar, manteca de cacao, leche entera en polvo, pasta de cacao, suero lácteo (leche), emulgente (lecitina de soja), aroma], arroz (44%), sal. Trazas de frutos de cáscara.",466.0,17.0,11.0,70.0,28.0,2.4,7.1,0.46,0.184
8480000341457,Pipas fritas peladas,Hacendado,España,200g,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Semillas,Semillas de girasol y derivados,Semillas de girasol,Semillas de girasol tostadas,Semillas de girasol sin cáscara,Semillas de girasol con cáscara,Semillas de girasol con cáscara tostadas,en:Sunflower seed grilled and salted","Sin gluten,No recomendado para ciertas personas,Punto Verde,Fuente de hierro,No recomendado a niños menores de 3 años,Fuente de fósforo",c,d,3.0,"Pipas de girasol peladas, sal, aceite refinado de girasol, harina de arroz,",665.0,61.0,6.3,3.6,3.1,8.1,22.0,1.4,0.56
8480000399014,Salmorejo fresco,Hacendado,España,1 l,"Alimentos y bebidas de origen vegetal, Bebidas, en:Dairy substitutes, Comidas preparadas, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Sopas, Sopas frías, Salmorejos",en:pasteurized,e,unknown,4.0,"Tomate, aceite de oliva virgen extra (8%), pan (harina de trigo, agua, sal y levadura), aceite de girasol, vinagre de vino, sal y ajo, _Contiene gluten,_",134.0,10.0,1.4,9.5,2.1,0.0,1.5,0.95,0.38
8711200350339,Knorr Soupe Liquide Potiron Pointe de Muscade 450ml,Knorr,France,450 ml,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Plats préparés, Soupes, Veloutés, Soupes à réchauffer, Soupes de légumes, Plats préparés en conserve, Veloutés de légumes, Soupes en conserve, Veloutés de potiron","Peu ou pas de sucre, Peu de sucre, Végétarien, Sans conservateurs, Union Végétarienne Européenne, Union Végétarienne Européenne Végétarien, Point Vert, Sans colorants, Sans exhausteur de goût, Triman",c,a,3.0,"Voici les ingrédients présents dans notre jolie bouteille : de l'eau, du potiron¹ (30%), de la carotte¹, de l'oignon¹, de la CRÈME fraîche, de la pomme de terre¹, une petite noisette de BEURRE, de l'amidon de maïs, un peu de sucre de canne, de la tomate¹, une pincée de sel et une pointe de noix de muscade (0,03%). ¹Légumes issus de l'agriculture durable. 54% de légumes¹ (incluant la pomme de terre).",41.0,1.9,1.2,4.7,2.6,1.0,0.6,0.66,0.264
8711299020540,Wasabi peanuts,Snacks of The World,"Belgia,Czechy,Francja,Włochy,Holandia,Polska",250 g,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Snacks, Légumineuses, Snacks salés, Fruits à coques et dérivés, Fruits à coques, Cacahuètes, Cacahuètes enrobées d'un biscuit pour apéritif, Cacahuètes au wasabi",Point Vert,d,d,4.0,"32% _cacahuète_, amidon de mais modifié, amidon de maïs, farine de _blé_, sucre, dextrine, sel, huile de coco, 0,4 % mélange wasabi (raifort, glucose, dextrine), 0,1% wasabi japonica en poudre, algue marine, colorant (E141i).",442.0,14.7,3.4,67.2,20.6,,9.1,1.3,0.52
8712429361106,Demae Ramen Spicy,Nissin,"Finnland,Frankreich,Deutschland,Schweden,Vereinigtes Königreich",100g,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreideprodukte,Getrocknete Produkte,Teigwaren,Getrocknete Produkte zur Rehydrierung,Nudeln,Instant-Nudeln,Instant Nudelsuppen,Lamian","Vegetarisch,Vegan,Europäische Vegetarier-Union,Europäische Vegetarier-Union Vegan,Triman",c,d,4.0,"Nudeln 89,7% [WEIZENMEHL, Palmöl, Kochsalz, Säureregulatoren (Natriumcarbonate, Kaliumcarbonate), Stabilisator (Triphosphate), Verdickungsmittel (Guarkernmehl), Antioxidationsmittel (stark tocopherolhaltige Extrakte)], Würzpulver 8,3% [Kochsalz, Geschmacksverstärker (Mononatriumglutamat, Dinatriumguanylat, Dinatriuminosinat), Zucker, Sojasaucenpulver (SOJABOHNEN, WEIZEN, Kochsalz, Maltodextrin), Aromen, Chilipulver 0,6%, Gewürze, Hefeextrakt, Farbstoffe Paprikaextrakt, Zuckerkulör), Lauch, Trennmittel (Siliciumdioxid), Säureregulator (Citronensäure)], Würzöl 2,0% [geröstetes SESAMÖL, Rapsöl, Farbstoff (Paprikaextrakt), Aromen].",,,,,,,,,
